Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,SUM,MAX,Avg, 
P114,7,6,7,8,10,12,7,10,11,14,10,16,15,13,9,16,5,15,9,9,10,5,11,7,5,6,12,11,14,6,8,7,6,12,3,9,11,14,9,11,11,8,8,5,11,10,7,7,9,7,10,8,3,487,16,9.365384615,
P115,9,9,12,13,14,13,10,6,10,11,16,10,11,17,14,17,11,10,5,13,16,18,11,6,12,11,14,18,10,14,5,11,13,9,10,4,10,11,12,6,5,9,12,7,10,14,12,12,15,7,6,10,4,571,18,10.98076923,
P116,13,7,8,8,7,12,9,11,11,9,7,13,8,10,12,16,9,14,12,11,12,6,8,11,8,8,8,10,6,8,10,8,4,4,11,7,6,13,8,5,11,5,10,8,4,7,15,10,13,12,10,12,4,485,16,9.326923077,
P117,6,2,3,3,3,2,5,2,4,4,3,10,3,5,6,7,5,7,7,9,5,5,3,3,5,2,4,2,6,4,8,3,1,5,7,5,3,5,2,2,2,3,7,6,8,2,3,5,3,4,5,2,1,226,10,4.346153846,
P118,16,13,10,10,16,15,9,5,13,13,8,11,8,11,10,8,14,15,11,8,12,5,22,11,13,13,5,6,11,15,7,9,4,12,6,8,5,7,7,7,8,9,5,7,6,8,6,12,8,4,10,10,4,502,22,9.653846154,
P119,30,40,46,33,28,41,34,33,44,49,37,29,42,31,45,43,37,43,49,29,27,35,33,30,29,28,30,23,23,23,48,32,28,29,19,21,36,28,36,35,36,26,26,24,43,38,35,35,24,29,33,19,19,1724,49,33.15384615,
P120,37,35,27,30,31,42,30,37,37,39,32,31,38,38,35,47,52,42,32,34,26,30,42,31,29,24,36,16,27,36,35,33,27,30,31,28,18,31,27,35,37,48,27,46,34,26,27,38,37,27,29,32,16,1726,52,33.19230769,
P121,7,10,8,10,11,10,9,9,11,7,14,12,10,11,9,14,7,8,11,6,8,11,7,9,13,11,11,4,8,6,6,11,4,16,5,6,13,8,7,8,9,5,4,12,6,4,11,10,6,10,6,12,4,461,16,8.865384615,
P122,7,10,7,8,11,2,9,7,12,17,8,8,6,19,5,17,6,12,11,7,4,10,12,10,7,10,4,5,14,11,6,9,6,9,13,9,11,5,7,6,11,11,12,6,11,14,13,6,9,1,1,12,1,464,19,8.923076923,
P123,5,5,3,6,4,6,4,7,4,2,4,4,3,3,5,2,5,1,0,5,4,6,5,5,0,7,5,0,5,1,3,5,5,0,2,2,5,2,3,2,2,5,4,3,2,5,4,5,3,2,3,4,0,187,7,3.596153846,
P124,4,6,0,7,4,3,5,4,2,7,11,6,8,4,4,10,5,3,4,3,4,3,4,6,8,6,4,0,1,2,7,5,3,6,6,4,1,1,6,6,5,4,4,11,2,3,8,3,2,2,9,4,0,240,11,4.615384615,
P125,6,9,5,10,6,9,10,8,15,14,15,10,11,8,9,6,9,11,3,9,11,13,9,11,6,13,5,6,7,8,10,6,6,14,7,8,4,6,9,7,4,2,9,6,7,10,6,8,7,18,3,6,2,435,18,8.365384615,
P126,3,8,8,3,5,3,6,3,5,6,6,2,5,3,9,2,4,6,4,2,2,2,6,1,2,3,7,5,1,2,4,5,3,4,4,5,5,5,4,9,0,3,6,2,5,4,2,4,6,11,5,5,0,225,11,4.326923077,
P127,4,0,2,2,2,1,3,2,1,3,1,0,7,2,6,1,4,0,3,7,7,3,2,0,2,1,1,3,2,3,4,2,2,0,0,3,1,4,0,3,0,2,2,1,3,5,2,1,3,3,1,0,0,117,7,2.25,
P128,36,43,28,39,41,37,41,45,43,40,46,40,40,33,35,31,35,32,38,40,29,48,31,48,34,18,25,34,40,26,38,28,29,36,26,37,35,19,33,30,28,50,50,26,42,42,29,38,36,26,29,22,18,1825,50,35.09615385,
P129,21,36,44,47,26,33,30,27,37,34,41,45,41,36,37,43,44,44,35,33,52,40,48,30,36,23,28,22,39,35,17,40,43,36,37,46,30,35,39,38,36,28,29,29,35,41,30,31,35,38,30,22,17,1832,52,35.23076923,
P130,19,53,43,41,39,46,45,31,50,46,39,35,38,29,37,28,32,46,49,28,43,42,46,29,35,20,46,27,29,32,16,37,29,27,36,26,30,37,30,31,25,36,35,32,22,36,30,26,31,29,26,15,15,1765,53,33.94230769,
P131,29,32,32,35,49,38,34,43,39,31,45,38,40,40,42,45,34,37,38,43,41,32,36,35,36,28,32,27,30,26,35,19,31,24,40,33,28,32,28,22,39,25,32,30,32,38,31,29,37,30,19,24,19,1745,49,33.55769231,
P132,39,36,45,41,43,37,38,39,32,45,48,32,36,40,37,28,30,32,41,45,41,39,36,58,29,21,22,31,29,38,37,25,23,33,36,33,32,34,35,22,30,40,39,34,26,34,44,39,29,29,37,20,20,1819,58,34.98076923,
P133,30,48,29,38,40,42,47,42,33,38,47,32,40,30,42,42,42,40,34,47,38,32,28,39,32,27,27,29,30,25,32,30,27,28,31,34,34,32,41,42,37,36,28,30,27,23,37,31,38,27,29,17,17,1781,48,34.25,
P134,32,41,50,35,36,35,41,33,32,34,38,29,42,52,57,31,34,24,30,38,42,39,50,30,26,36,37,25,31,22,19,40,43,19,33,38,55,33,43,39,29,45,25,32,37,33,35,31,45,32,27,26,19,1841,57,35.40384615,
P135,38,32,36,37,42,33,56,37,39,31,43,45,39,55,43,45,47,41,43,29,50,43,48,39,39,27,31,35,28,32,24,44,30,23,33,32,38,38,43,34,40,28,38,30,36,37,34,39,44,31,25,16,16,1920,56,36.92307692,
P136,39,37,39,52,38,28,51,39,42,37,35,47,32,32,45,36,34,55,40,28,49,43,39,34,28,25,40,35,36,31,26,24,21,37,29,38,32,30,31,39,44,40,35,40,27,25,31,28,50,32,38,16,16,1859,55,35.75,
P137,37,41,43,41,40,47,54,30,43,40,33,45,35,43,41,44,34,35,34,36,36,31,46,31,43,28,39,26,30,22,31,30,48,24,41,41,42,36,32,33,28,34,43,44,23,42,30,33,37,40,26,28,22,1894,54,36.42307692,
P138,36,44,22,35,34,34,38,34,26,36,33,28,43,38,19,40,41,32,41,36,51,29,29,32,24,23,19,32,26,28,31,22,49,35,29,38,29,31,25,21,22,32,28,31,39,29,29,34,27,40,35,24,19,1663,51,31.98076923,
P139,32,36,32,38,47,31,48,27,41,36,31,34,47,39,38,38,47,36,41,44,40,35,40,32,31,37,24,32,25,23,28,28,21,39,36,30,29,27,23,23,30,31,27,32,23,25,38,24,23,32,35,24,21,1710,48,32.88461538,
P140,28,36,41,46,34,38,38,28,34,27,28,39,45,19,32,44,33,24,38,39,38,31,41,37,34,26,27,26,36,34,39,37,30,39,33,38,31,34,27,33,28,39,28,34,29,27,35,34,35,32,23,29,19,1735,46,33.36538462,
P141,27,45,40,34,31,35,37,40,40,37,34,25,29,30,42,35,37,42,38,33,38,39,33,41,24,20,25,32,25,32,27,28,34,39,19,32,23,30,33,34,23,28,34,27,39,36,39,35,22,35,16,23,16,1676,45,32.23076923,
P142,23,29,40,43,34,30,42,43,35,35,43,37,25,42,42,39,43,42,16,33,19,33,37,36,21,31,25,30,25,22,22,38,35,37,24,20,20,31,20,42,24,26,27,24,31,39,37,30,46,41,29,25,16,1663,46,31.98076923,
P143,31,35,29,42,31,35,28,41,49,41,36,27,39,43,33,47,43,34,43,40,36,35,36,41,35,30,27,30,28,25,47,21,32,41,22,27,27,17,29,22,27,32,34,40,23,36,30,30,26,21,16,24,16,1694,49,32.57692308,
P144,9,13,17,12,8,21,12,9,6,5,6,18,13,6,11,12,11,6,6,13,8,8,9,14,13,14,6,7,11,10,11,10,9,7,2,10,5,11,7,8,5,13,14,6,8,5,4,9,7,8,8,12,2,493,21,9.480769231,
P145,10,12,9,9,12,6,9,12,13,7,12,11,14,9,15,13,6,7,13,12,13,15,14,7,13,5,4,6,5,6,4,19,10,5,5,12,6,9,9,7,7,5,7,6,7,9,12,7,6,5,7,7,4,470,19,9.038461538,
P146,7,13,9,13,10,12,11,6,11,11,10,15,7,5,9,8,9,4,6,5,12,6,8,7,7,8,7,9,7,8,10,7,8,8,5,4,5,8,9,14,10,14,3,8,9,3,16,7,3,5,10,13,3,439,16,8.442307692,
P147,10,4,9,9,15,7,10,14,10,9,12,11,8,16,8,13,10,6,7,9,9,10,7,7,9,6,10,7,15,11,9,6,15,5,6,10,13,9,8,8,5,14,14,10,10,11,5,7,5,4,13,3,3,478,16,9.192307692,
P148,3,2,8,3,5,7,1,5,3,5,3,2,8,4,5,5,5,4,1,3,5,4,2,0,0,4,5,8,1,2,1,7,2,1,7,4,4,2,2,3,9,3,4,5,1,3,7,2,4,4,6,7,0,201,9,3.865384615,
P149,11,9,9,6,13,8,11,14,14,11,9,10,13,4,10,13,10,11,11,13,7,10,9,7,14,5,13,5,12,8,13,8,10,7,8,9,14,7,8,8,7,8,6,9,7,11,8,12,7,7,7,5,4,486,14,9.346153846,
P150,4,3,3,4,6,2,3,5,4,3,4,6,3,4,6,6,3,5,3,4,0,6,7,5,2,8,5,4,2,2,8,2,1,4,6,0,1,6,2,4,2,9,3,3,6,5,2,0,4,5,7,3,0,205,9,3.942307692,
P151,3,7,8,8,6,8,2,12,1,3,8,3,6,8,6,4,1,7,8,4,5,5,6,8,3,3,5,3,3,0,2,3,2,1,5,4,2,0,5,3,3,4,8,5,1,2,1,4,3,1,4,4,0,221,12,4.25,
P152,11,10,8,8,13,4,10,10,6,12,16,7,13,8,10,5,12,8,9,15,7,6,9,9,8,11,6,3,14,6,7,13,9,6,6,3,10,9,12,14,5,6,11,7,7,15,8,12,3,11,15,11,3,474,16,9.115384615,
P153,22,9,11,10,10,5,9,13,17,14,10,12,11,13,11,10,7,7,14,4,5,6,7,9,8,11,7,8,8,8,4,11,6,7,13,5,7,8,8,8,6,8,9,13,10,13,10,8,7,8,11,10,4,486,22,9.346153846,
P154,12,14,11,6,8,7,16,4,11,5,8,5,10,4,11,2,9,13,13,15,9,9,11,9,10,9,7,13,12,6,5,7,8,8,9,10,6,7,12,5,4,7,7,7,3,5,5,5,13,10,6,6,2,434,16,8.346153846,
P155,5,7,4,3,4,3,2,4,3,5,2,3,3,4,4,5,10,5,5,4,2,1,4,5,6,3,3,4,4,5,8,4,3,1,3,4,7,5,2,5,3,2,2,5,5,5,1,2,6,2,2,5,1,204,10,3.923076923,
P156,1,4,6,6,3,8,2,3,4,6,3,6,4,3,2,6,1,5,5,0,4,0,5,4,4,4,2,6,5,3,2,2,7,4,1,2,3,5,2,5,6,1,4,4,1,2,3,5,2,3,4,4,0,187,8,3.596153846,
P157,12,8,14,7,8,10,11,14,15,8,9,14,11,8,9,10,10,8,7,6,8,3,7,5,4,15,5,8,5,11,3,8,7,5,8,6,9,8,8,11,10,7,7,8,6,6,8,8,5,12,5,5,3,430,15,8.269230769,
P158,8,3,3,2,3,3,4,5,2,7,7,3,9,3,4,6,3,2,4,2,6,2,5,2,2,3,5,1,3,1,0,6,1,3,1,3,4,1,3,2,2,4,2,2,6,2,4,2,4,7,3,5,0,180,9,3.461538462,
P159,2,2,9,5,2,7,4,4,5,7,2,8,3,5,4,7,3,4,4,5,7,1,4,2,4,2,4,1,4,5,4,5,2,3,2,3,7,1,3,4,4,2,4,6,4,9,2,3,4,4,3,7,1,212,9,4.076923077,
P160,9,8,10,13,14,10,15,9,6,6,7,16,14,5,9,9,8,12,9,12,6,4,15,4,4,8,4,8,7,8,7,15,7,14,6,3,7,8,13,11,12,8,7,7,6,9,9,14,11,11,8,11,3,473,16,9.096153846,
P161,5,6,5,7,1,3,6,6,2,9,4,6,5,2,2,5,7,3,6,3,5,6,2,7,4,2,3,5,4,6,3,6,2,2,3,6,2,6,2,5,4,5,2,5,6,4,3,4,9,4,2,6,1,228,9,4.384615385,
P162,13,9,12,9,11,11,9,11,9,9,18,5,8,10,11,12,10,12,8,10,7,13,10,9,6,10,5,7,9,12,8,4,5,7,9,12,9,4,3,9,2,8,5,4,14,8,5,7,6,6,6,13,2,449,18,8.634615385,
P163,6,5,6,6,7,5,5,5,1,3,1,3,3,0,6,1,0,7,3,3,3,2,5,4,3,6,6,5,7,3,4,3,4,1,5,2,6,3,5,11,1,4,3,0,3,4,4,3,2,6,7,3,0,204,11,3.923076923,
P164,9,5,8,9,14,10,8,11,8,7,8,13,7,2,9,12,14,7,7,12,10,9,15,13,8,15,6,3,6,8,14,5,9,9,12,8,9,12,9,8,6,10,6,19,1,10,7,11,7,6,5,9,1,465,19,8.942307692,
P165,9,13,9,16,12,9,13,14,6,16,10,8,11,11,6,15,10,14,10,11,9,13,7,8,5,14,8,10,8,11,6,3,12,13,7,9,9,5,10,11,14,10,10,10,6,4,9,12,12,7,6,11,3,512,16,9.846153846,
P166,7,10,9,11,5,8,15,14,9,7,16,13,10,14,13,7,18,7,13,11,8,6,12,5,11,8,5,10,5,11,13,7,10,11,5,10,8,9,11,10,4,13,5,21,10,6,7,4,8,16,5,11,4,502,21,9.653846154,
P167,33,45,42,41,32,45,43,45,45,36,48,46,33,42,34,37,41,30,37,34,38,28,31,39,25,25,29,16,29,31,28,25,22,36,25,27,24,39,37,24,27,27,29,28,26,34,33,40,31,34,28,28,16,1732,48,33.30769231,
P168,34,29,34,59,27,39,34,49,35,45,39,28,43,40,37,33,42,31,43,30,35,44,40,36,40,23,31,26,21,42,40,34,27,26,39,32,40,29,29,28,30,26,27,36,37,26,44,41,29,34,25,18,18,1786,59,34.34615385,
P169,38,31,22,43,29,25,46,32,38,39,32,32,31,37,29,36,37,33,52,18,31,31,32,37,39,23,22,28,42,22,18,25,25,33,29,28,32,17,34,27,28,25,30,17,28,35,34,40,38,33,21,33,17,1617,52,31.09615385,
P170,29,37,32,43,30,27,28,22,37,42,32,36,31,34,28,48,35,39,34,34,37,36,37,31,40,14,22,26,34,30,36,17,31,39,28,28,28,32,52,33,30,40,34,25,25,33,39,49,39,35,21,32,14,1711,52,32.90384615,
P171,6,7,13,6,4,12,11,9,13,13,14,11,9,9,7,11,9,5,6,11,10,9,9,8,8,10,8,14,10,7,8,6,15,5,2,13,11,6,4,4,8,15,5,8,7,5,7,11,5,8,7,9,2,448,15,8.615384615,
P172,32,48,44,40,31,40,30,45,40,29,45,32,37,36,43,36,34,42,50,36,44,31,50,35,26,27,23,32,37,19,40,34,29,38,42,35,28,29,32,29,26,23,32,33,30,44,47,37,18,36,23,25,18,1804,50,34.69230769,
P173,34,25,42,47,37,40,30,44,37,38,41,38,42,40,44,41,54,42,32,48,36,41,38,49,39,34,30,22,23,30,35,27,41,41,31,38,26,35,34,38,39,45,36,50,35,32,31,37,36,34,23,15,15,1897,54,36.48076923,
P174,37,42,30,43,48,44,47,27,43,41,34,53,33,35,40,52,47,43,40,51,39,37,35,34,36,19,29,28,25,35,23,20,24,30,37,27,41,38,34,38,33,41,48,34,32,44,29,44,32,28,38,24,19,1886,53,36.26923077,
P175,30,40,48,28,30,34,40,53,43,37,29,38,38,36,36,46,37,49,35,35,48,34,51,31,30,26,26,34,38,36,35,34,36,37,38,32,42,32,20,32,22,28,31,36,42,42,32,31,39,24,24,19,19,1824,53,35.07692308,
P176,38,44,41,26,28,36,29,38,45,32,45,53,44,31,35,37,35,49,30,40,47,32,49,33,46,26,26,27,28,30,39,27,34,27,26,28,29,32,28,26,23,29,21,31,31,26,24,33,32,30,23,13,13,1712,53,32.92307692,
P177,25,38,37,48,34,40,30,29,39,40,36,35,30,44,43,46,29,35,39,56,48,39,20,36,20,33,34,28,36,20,21,36,41,32,23,23,24,43,30,28,26,17,33,28,29,34,32,41,24,33,27,28,17,1720,56,33.07692308,
P178,35,34,40,36,45,37,43,47,34,39,33,41,47,40,47,53,44,39,42,41,44,51,47,44,38,32,29,41,27,21,36,27,30,19,46,31,33,29,36,34,25,27,52,36,43,31,37,38,42,28,28,26,19,1925,53,37.01923077,
P179,44,43,35,36,39,42,31,44,37,38,33,35,37,34,51,50,43,38,43,36,43,36,42,34,29,25,29,36,28,19,39,44,32,42,38,43,32,37,40,38,35,28,38,34,37,34,55,26,33,26,38,25,19,1904,55,36.61538462,
P180,40,38,34,43,43,34,41,31,55,34,51,37,40,44,38,53,55,32,35,35,36,31,32,45,36,12,38,25,30,33,24,39,49,25,34,33,31,27,30,37,36,33,26,28,39,38,34,30,38,41,34,16,12,1853,55,35.63461538,
P181,32,44,31,38,37,36,30,42,49,46,26,31,39,47,43,50,35,37,32,31,29,45,33,35,29,16,34,28,30,30,17,32,37,31,24,34,33,38,35,28,34,28,32,24,28,22,24,26,33,25,40,15,15,1705,50,32.78846154,
P182,42,28,34,28,26,35,29,36,44,37,47,29,43,37,36,31,39,26,28,40,34,25,40,33,29,23,17,26,23,15,24,23,26,28,26,27,28,38,41,25,37,41,37,36,29,40,29,41,31,23,27,20,15,1637,47,31.48076923,
P183,25,37,42,50,18,32,38,37,33,30,37,20,41,40,39,38,34,32,41,30,40,36,31,33,28,22,22,30,23,31,28,30,34,29,30,32,26,30,31,24,29,27,24,28,30,28,29,34,31,29,25,19,18,1617,50,31.09615385,
P184,30,37,38,30,32,32,52,33,47,44,38,45,38,47,44,52,40,42,35,39,36,34,33,42,45,24,24,30,27,31,29,29,35,37,29,21,40,28,32,32,23,22,33,38,35,33,28,23,39,15,31,30,15,1783,52,34.28846154,
P185,32,28,36,40,40,50,43,40,38,35,43,41,29,34,37,33,25,44,39,46,31,44,30,37,30,29,22,38,37,30,30,25,29,36,32,38,30,39,41,28,31,29,44,24,40,28,24,22,30,31,28,28,22,1768,50,34,
P186,36,34,37,36,41,33,51,43,21,44,35,50,39,37,26,41,48,35,47,51,35,43,38,33,33,25,35,28,31,27,44,41,27,25,29,30,32,29,27,30,33,26,37,42,35,33,27,35,35,27,22,20,20,1799,51,34.59615385,
P187,31,38,47,36,36,27,28,19,40,38,28,31,34,38,36,30,33,45,31,22,33,28,25,32,33,23,14,26,26,27,29,22,38,14,23,33,25,27,40,31,29,38,29,41,36,27,24,38,19,33,20,28,14,1579,47,30.36538462,
P188,33,34,36,52,42,49,39,30,43,20,25,49,35,34,39,35,52,39,27,44,29,35,27,36,23,23,29,22,35,16,27,19,28,29,20,36,31,31,37,35,38,25,42,36,28,24,23,26,38,27,22,24,16,1678,52,32.26923077,
P189,32,34,46,30,39,51,28,25,30,32,38,23,41,29,39,38,35,31,44,28,30,38,34,42,29,20,26,30,31,37,41,30,28,30,30,23,48,25,25,26,26,28,27,33,28,45,30,44,29,27,23,22,20,1678,51,32.26923077,
P190,54,41,51,45,51,46,31,37,38,35,43,36,41,54,47,30,47,36,45,28,33,34,35,36,43,32,29,29,26,39,34,40,33,21,36,39,37,33,37,37,32,43,40,26,40,28,29,29,31,38,26,31,21,1912,54,36.76923077,
P191,48,36,42,35,44,39,37,45,42,40,40,42,57,46,38,35,31,36,49,40,49,41,47,34,30,30,18,24,28,27,30,30,36,27,38,32,30,36,37,26,29,47,33,20,25,36,36,28,35,35,34,24,18,1854,57,35.65384615,
P192,24,33,30,35,36,43,43,31,31,39,26,33,39,39,29,43,40,40,32,46,28,32,48,35,30,28,27,26,34,24,27,15,37,30,37,25,30,28,34,23,31,41,27,34,32,35,29,26,25,31,32,31,15,1684,48,32.38461538,
P193,36,22,32,45,35,44,39,41,33,43,49,41,45,45,43,35,46,60,43,41,50,46,35,46,33,21,30,32,22,32,38,22,39,31,29,26,29,25,35,38,32,27,40,43,35,24,40,30,33,35,22,21,21,1859,60,35.75,
P194,35,37,31,23,37,42,38,34,33,37,34,43,37,32,43,42,41,43,29,33,39,25,32,31,23,19,21,29,21,25,20,29,22,19,37,28,37,27,23,28,42,28,29,32,25,31,21,35,23,33,28,27,19,1613,43,31.01923077,
P195,4,4,7,5,5,3,3,7,3,5,8,5,5,3,0,10,7,4,12,4,5,3,0,3,7,7,5,4,8,1,4,3,0,3,3,1,8,3,6,5,4,3,3,4,4,3,3,6,5,2,4,2,0,226,12,4.346153846,
P196,43,34,39,32,45,35,43,44,36,39,37,27,38,34,32,30,47,33,30,26,31,35,22,26,44,18,41,30,22,28,31,21,27,33,39,27,29,22,36,30,29,38,27,29,42,38,30,28,28,30,34,28,18,1697,47,32.63461538,
P197,6,8,8,16,8,11,9,18,10,12,12,6,9,15,15,4,9,13,3,7,12,11,13,11,12,12,4,2,6,6,11,10,17,8,7,9,7,6,13,13,6,8,10,5,16,11,12,17,6,6,4,10,2,500,18,9.615384615,
P198,7,19,4,9,8,12,11,10,8,16,10,9,14,12,15,15,7,6,10,18,8,9,14,15,17,20,9,8,13,8,3,7,7,8,15,8,10,8,5,3,10,9,7,8,16,8,9,7,7,11,9,16,3,532,20,10.23076923,
P199,4,1,1,6,3,7,1,4,4,5,3,5,7,4,3,1,2,2,5,5,3,2,2,7,5,8,1,3,0,3,8,2,1,2,1,2,1,4,4,2,2,3,6,2,7,4,3,4,2,1,3,2,0,173,8,3.326923077,
P200,18,14,21,17,26,14,15,20,17,12,14,22,18,16,16,16,16,17,22,24,26,21,23,19,35,24,10,11,8,5,14,19,18,14,13,9,16,18,10,21,11,15,21,12,15,13,18,23,23,16,23,26,5,905,35,17.40384615,
P201,1,3,3,5,5,5,2,3,2,7,7,5,3,3,1,2,7,3,5,3,4,7,9,6,5,3,2,2,6,1,3,2,3,3,4,2,4,5,5,2,5,4,5,5,4,5,1,1,2,7,1,4,1,197,9,3.788461538,
P202,10,10,10,11,11,11,15,14,20,16,5,16,18,17,19,20,17,15,12,24,23,22,16,17,20,25,9,16,15,10,9,14,13,14,12,6,11,21,14,10,15,14,10,17,21,14,25,20,12,21,25,23,5,805,25,15.48076923,
P203,9,7,3,6,6,9,7,6,5,3,5,8,3,5,8,8,4,8,10,7,6,3,7,9,6,8,3,6,1,10,2,2,8,9,3,6,7,7,3,8,3,7,7,8,6,4,6,7,8,7,5,7,1,316,10,6.076923077,
P204,1,2,1,1,1,3,4,2,2,1,0,1,3,2,1,2,5,3,2,5,0,5,3,1,5,4,5,0,2,4,4,2,1,3,1,3,2,2,5,0,1,3,1,2,0,2,5,4,2,1,3,4,0,122,5,2.346153846,
P205,11,7,7,13,8,6,15,9,14,11,12,12,12,9,16,13,13,15,16,8,13,15,10,26,25,28,7,8,7,7,10,16,9,13,10,11,5,11,9,6,7,14,8,20,14,9,13,12,12,11,22,17,5,632,28,12.15384615,
P206,1,0,1,3,1,3,4,0,4,5,0,2,3,3,2,2,4,2,3,2,6,3,5,5,4,1,1,3,3,2,2,1,1,1,2,0,1,3,3,4,2,2,2,3,6,2,2,6,6,4,1,5,0,137,6,2.634615385,
P207,2,5,8,7,3,5,2,6,7,6,10,2,10,5,4,7,7,6,4,5,3,5,7,7,10,11,1,3,4,4,5,4,2,4,5,5,3,5,9,3,1,5,7,5,7,9,8,3,6,10,10,12,1,294,12,5.653846154,
P208,30,26,36,33,33,30,33,28,19,26,43,36,31,33,41,29,33,45,24,32,50,41,50,51,39,49,19,15,27,24,26,22,21,15,23,25,18,33,25,30,27,29,31,37,26,27,39,33,32,36,39,45,15,1645,51,31.63461538,
P209,12,6,6,11,16,12,6,11,8,14,13,7,11,12,11,11,9,15,10,13,12,10,11,16,8,15,8,6,8,5,10,10,5,4,9,10,9,10,9,6,4,13,6,11,7,8,8,17,6,13,12,15,4,515,17,9.903846154,
P210,16,12,9,14,7,11,16,23,9,11,13,14,15,14,20,10,10,17,14,16,13,17,13,16,18,14,9,11,8,7,9,10,11,4,8,16,12,10,10,9,13,11,9,10,13,14,11,8,17,19,18,14,4,653,23,12.55769231,
P211,15,12,9,12,14,14,17,14,10,11,19,12,6,12,14,11,9,11,19,15,18,13,17,9,12,12,10,9,13,13,7,11,4,10,10,15,12,9,4,10,8,5,10,8,11,6,8,18,7,10,10,14,4,589,19,11.32692308,
P212,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,3,1,0,1,2,1,0,0,0,1,1,0,1,0,1,0,22,3,0.423076923,
P213,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,12,2,0.230769231,
P214,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,4,0.25,
P215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.019230769,
P216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,10,2,0.192307692,
P217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,7,1,0.134615385,
P218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,2,0.096153846,
P219,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,16,2,0.307692308,
P220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,2,1,0,2,0,0,0,0,13,2,0.25,
P221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,1,0,1,0,2,0,15,2,0.288461538,
P222,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,11,2,0.211538462,
P223,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,10,2,0.192307692,
P224,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,1,2,2,0,2,1,0,0,24,2,0.461538462,
P225,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,12,1,0.230769231,
P226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,2,0.173076923,
P227,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,2,0.115384615,
